[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 3747.42it/s]
/root/modded-nanogpt/results/codex_xsa_no_gate_target328_20260526T015307Z/logs/codex-xsa-no-gate-target328.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 456, 457, 458, 459, 915, 916, 917, 918, 1373, 1374, 1375, 1376] for warmup
Resetting Model
Capping training loop at 2500 optimizer steps
step:388/2500 train_time:92561ms step_avg:238.56ms
step:389/2500 train_time:92801ms step_avg:238.56ms
step:390/2500 train_time:93040ms step_avg:238.56ms
step:391/2500 train_time:93281ms step_avg:238.57ms
step:392/2500 train_time:93519ms step_avg:238.57ms
step:393/2500 train_time:93759ms step_avg:238.57ms
step:394/2500 train_time:93998ms step_avg:238.57ms
step:395/2500 train_time:94238ms step_avg:238.58ms
step:396/2500 train_time:94476ms step_avg:238.58ms
step:397/2500 train_time:94716ms step_avg:238.58ms
step:398/2500 train_time:94954ms step_avg:238.58ms
step:399/2500 train_time:95194ms step_avg:238.58ms
step:400/2500 train_time:95432ms step_avg:238.58ms
step:401/2500 train_time:95672ms step_avg:238.58ms
step:402/2500 train_time:95912ms step_avg:238.59ms
step:403/2500 train_time:96152ms step_avg:238.59ms
step:404/2500 train_time:96391ms step_avg:238.59ms
step:405/2500 train_time:96631ms step_avg:238.59ms
step:406/2500 train_time:96870ms step_avg:238.60ms
step:407/2500 train_time:97111ms step_avg:238.60ms
step:408/2500 train_time:97350ms step_avg:238.60ms
step:409/2500 train_time:97589ms step_avg:238.60ms
step:410/2500 train_time:97828ms step_avg:238.60ms
step:411/2500 train_time:98068ms step_avg:238.61ms
step:412/2500 train_time:98307ms step_avg:238.61ms
step:413/2500 train_time:98544ms step_avg:238.61ms
step:414/2500 train_time:98783ms step_avg:238.61ms
step:415/2500 train_time:99022ms step_avg:238.61ms
step:416/2500 train_time:99260ms step_avg:238.61ms
step:417/2500 train_time:99499ms step_avg:238.61ms
step:418/2500 train_time:99739ms step_avg:238.61ms
step:419/2500 train_time:99979ms step_avg:238.61ms
step:420/2500 train_time:100219ms step_avg:238.62ms
step:421/2500 train_time:100458ms step_avg:238.62ms
step:422/2500 train_time:100696ms step_avg:238.62ms
step:423/2500 train_time:100936ms step_avg:238.62ms
step:424/2500 train_time:101173ms step_avg:238.62ms
step:425/2500 train_time:101413ms step_avg:238.62ms
step:426/2500 train_time:101652ms step_avg:238.62ms
step:427/2500 train_time:101893ms step_avg:238.63ms
step:428/2500 train_time:102131ms step_avg:238.62ms
step:429/2500 train_time:102372ms step_avg:238.63ms
step:430/2500 train_time:102610ms step_avg:238.63ms
step:431/2500 train_time:102850ms step_avg:238.63ms
step:432/2500 train_time:103090ms step_avg:238.63ms
step:433/2500 train_time:103329ms step_avg:238.64ms
step:434/2500 train_time:103568ms step_avg:238.64ms
step:435/2500 train_time:103808ms step_avg:238.64ms
step:436/2500 train_time:104047ms step_avg:238.64ms
step:437/2500 train_time:104287ms step_avg:238.64ms
step:438/2500 train_time:104524ms step_avg:238.64ms
step:439/2500 train_time:104763ms step_avg:238.64ms
step:440/2500 train_time:105002ms step_avg:238.64ms
step:441/2500 train_time:105242ms step_avg:238.64ms
step:442/2500 train_time:105480ms step_avg:238.64ms
step:443/2500 train_time:105720ms step_avg:238.65ms
step:444/2500 train_time:105959ms step_avg:238.65ms
step:445/2500 train_time:106200ms step_avg:238.65ms
step:446/2500 train_time:106437ms step_avg:238.65ms
step:447/2500 train_time:106676ms step_avg:238.65ms
step:448/2500 train_time:106914ms step_avg:238.65ms
step:449/2500 train_time:107154ms step_avg:238.65ms
step:450/2500 train_time:107393ms step_avg:238.65ms
step:451/2500 train_time:107632ms step_avg:238.65ms
step:452/2500 train_time:107871ms step_avg:238.65ms
step:453/2500 train_time:108111ms step_avg:238.66ms
step:454/2500 train_time:108350ms step_avg:238.66ms
step:455/2500 train_time:108591ms step_avg:238.66ms
step:456/2500 train_time:108829ms step_avg:238.66ms
step:457/2500 train_time:109072ms step_avg:238.67ms
step:458/2500 train_time:109311ms step_avg:238.67ms
step:459/2500 train_time:109735ms step_avg:239.08ms
step:460/2500 train_time:110182ms step_avg:239.53ms
step:461/2500 train_time:110631ms step_avg:239.98ms
step:462/2500 train_time:111080ms step_avg:240.43ms
step:463/2500 train_time:111525ms step_avg:240.88ms
step:464/2500 train_time:111973ms step_avg:241.32ms
